phenomenon	figure_stem	label	title	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_choice_word_order	anc_iv_order	anc_tv_order	tau	accuracy_pct_seed_42	accuracy_pct_seed_43	accuracy_pct_seed_44	learning_score_seed_42	learning_score_seed_43	learning_score_seed_44	seed_disagreement
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	73_vos_gn_er_b_pa	vos	gn	erg-abs	balancing	poss-acc	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	74_vos_gn_er_b_ep	vos	gn	erg-abs	balancing	erg-poss	sov	SV	PVA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	75_vos_gn_er_b_no	vos	gn	erg-abs	balancing	nomn	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	76_vos_gn_er_d_se	vos	gn	erg-abs	deranking	sent	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	77_vos_gn_er_d_pa	vos	gn	erg-abs	deranking	poss-acc	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	78_vos_gn_er_d_ep	vos	gn	erg-abs	deranking	erg-poss	sov	SV	PVA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	79_vos_gn_er_d_no	vos	gn	erg-abs	deranking	nomn	svo	SV	AVP	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	80_vos_ng_ac_b_se	vos	ng	nom-acc	balancing	sent	vos	VS	VPA	5.0	99.0	99.0	100.0	0.9800010051162833	0.9800010051162833	1.0	0.019998994883716703
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	81_vos_ng_ac_b_pa	vos	ng	nom-acc	balancing	poss-acc	vos	VS	VPA	5.0	100.0	100.0	100.0	1.0	1.0	1.0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	82_vos_ng_ac_b_ep	vos	ng	nom-acc	balancing	erg-poss	vos	VS	VPA	5.0	100.0	100.0	99.0	1.0	1.0	0.9800010051162833	0.019998994883716703
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	83_vos_ng_ac_b_no	vos	ng	nom-acc	balancing	nomn	vos	VS	VPA	5.0	99.0	99.0	98.0	0.9800010051162833	0.9800010051162833	0.9600022327543785	0.019998772361904837
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	84_vos_ng_ac_d_se	vos	ng	nom-acc	deranking	sent	vos	VS	VPA	5.0	97.0	99.0	96.0	0.9400037321744893	0.9800010051162833	0.9200055635398481	0.059995441576435216
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	85_vos_ng_ac_d_pa	vos	ng	nom-acc	deranking	poss-acc	vos	VS	VPA	5.0	99.0	97.0	97.0	0.9800010051162833	0.9400037321744893	0.9400037321744893	0.039997272941794004
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	86_vos_ng_ac_d_ep	vos	ng	nom-acc	deranking	erg-poss	vos	VS	VPA	5.0	96.0	99.0	95.0	0.9200055635398481	0.9800010051162833	0.9000078003290506	0.07999320478723271
